Month,credito banco pacifico: (Ecuador)
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,27
2005-12,0
2006-01,0
2006-02,0
2006-03,45
2006-04,23
2006-05,0
2006-06,0
2006-07,23
2006-08,22
2006-09,20
2006-10,0
2006-11,0
2006-12,0
2007-01,32
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,25
2007-08,37
2007-09,0
2007-10,10
2007-11,0
2007-12,0
2008-01,0
2008-02,12
2008-03,11
2008-04,19
2008-05,9
2008-06,10
2008-07,19
2008-08,10
2008-09,17
2008-10,8
2008-11,8
2008-12,0
2009-01,0
2009-02,18
2009-03,15
2009-04,0
2009-05,7
2009-06,7
2009-07,7
2009-08,23
2009-09,0
2009-10,13
2009-11,38
2009-12,23
2010-01,7
2010-02,8
2010-03,0
2010-04,13
2010-05,20
2010-06,7
2010-07,7
2010-08,15
2010-09,25
2010-10,6
2010-11,17
2010-12,0
2011-01,4
2011-02,6
2011-03,18
2011-04,11
2011-05,9
2011-06,5
2011-07,14
2011-08,10
2011-09,9
2011-10,7
2011-11,7
2011-12,4
2012-01,5
2012-02,6
2012-03,6
2012-04,7
2012-05,9
2012-06,13
2012-07,10
2012-08,12
2012-09,12
2012-10,11
2012-11,8
2012-12,5
2013-01,8
2013-02,7
2013-03,6
2013-04,13
2013-05,7
2013-06,3
2013-07,6
2013-08,2
2013-09,11
2013-10,3
2013-11,10
2013-12,7
2014-01,17
2014-02,16
2014-03,11
2014-04,14
2014-05,13
2014-06,10
2014-07,16
2014-08,18
2014-09,24
2014-10,18
2014-11,15
2014-12,19
2015-01,22
2015-02,15
2015-03,19
2015-04,14
2015-05,22
2015-06,20
2015-07,26
2015-08,23
2015-09,33
2015-10,25
2015-11,21
2015-12,25
2016-01,25
2016-02,16
2016-03,25
2016-04,11
2016-05,17
2016-06,17
2016-07,19
2016-08,21
2016-09,18
2016-10,19
2016-11,21
2016-12,15
2017-01,26
2017-02,17
2017-03,25
2017-04,23
2017-05,24
2017-06,20
2017-07,29
2017-08,35
2017-09,34
2017-10,36
2017-11,37
2017-12,28
2018-01,49
2018-02,50
2018-03,56
2018-04,55
2018-05,52
2018-06,46
2018-07,51
2018-08,58
2018-09,48
2018-10,49
2018-11,50
2018-12,42
2019-01,49
2019-02,69
2019-03,49
2019-04,67
2019-05,59
2019-06,58
2019-07,65
2019-08,68
2019-09,92
2019-10,69
2019-11,60
2019-12,62
2020-01,72
2020-02,74
2020-03,56
2020-04,35
2020-05,72
2020-06,100
2020-07,70
2020-08,70
2020-09,63
2020-10,42
2020-11,51
2020-12,33
2021-01,51
2021-02,51
2021-03,57
2021-04,48
2021-05,47
2021-06,54
2021-07,61
2021-08,60
2021-09,53
2021-10,45
2021-11,42
2021-12,33
2022-01,35
2022-02,39
2022-03,43
2022-04,59
2022-05,49
