Month,prestamo quirografario: (Ecuador)
2005-01,14
2005-02,4
2005-03,4
2005-04,0
2005-05,6
2005-06,3
2005-07,0
2005-08,9
2005-09,0
2005-10,0
2005-11,2
2005-12,3
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,2
2006-06,0
2006-07,0
2006-08,2
2006-09,0
2006-10,2
2006-11,2
2006-12,0
2007-01,3
2007-02,2
2007-03,4
2007-04,1
2007-05,6
2007-06,3
2007-07,7
2007-08,7
2007-09,2
2007-10,1
2007-11,0
2007-12,2
2008-01,1
2008-02,1
2008-03,0
2008-04,2
2008-05,0
2008-06,0
2008-07,2
2008-08,2
2008-09,3
2008-10,3
2008-11,1
2008-12,1
2009-01,0
2009-02,0
2009-03,0
2009-04,2
2009-05,1
2009-06,3
2009-07,4
2009-08,3
2009-09,4
2009-10,5
2009-11,5
2009-12,2
2010-01,3
2010-02,2
2010-03,2
2010-04,4
2010-05,3
2010-06,4
2010-07,8
2010-08,6
2010-09,2
2010-10,4
2010-11,7
2010-12,4
2011-01,4
2011-02,4
2011-03,4
2011-04,3
2011-05,4
2011-06,6
2011-07,6
2011-08,5
2011-09,3
2011-10,6
2011-11,4
2011-12,5
2012-01,4
2012-02,39
2012-03,6
2012-04,4
2012-05,4
2012-06,8
2012-07,16
2012-08,10
2012-09,7
2012-10,9
2012-11,19
2012-12,14
2013-01,17
2013-02,8
2013-03,15
2013-04,30
2013-05,15
2013-06,7
2013-07,7
2013-08,44
2013-09,20
2013-10,10
2013-11,8
2013-12,16
2014-01,29
2014-02,12
2014-03,11
2014-04,17
2014-05,24
2014-06,21
2014-07,11
2014-08,19
2014-09,35
2014-10,26
2014-11,11
2014-12,7
2015-01,15
2015-02,20
2015-03,21
2015-04,28
2015-05,26
2015-06,23
2015-07,28
2015-08,15
2015-09,52
2015-10,24
2015-11,36
2015-12,24
2016-01,27
2016-02,37
2016-03,22
2016-04,32
2016-05,46
2016-06,20
2016-07,21
2016-08,24
2016-09,47
2016-10,63
2016-11,31
2016-12,22
2017-01,43
2017-02,53
2017-03,56
2017-04,20
2017-05,17
2017-06,17
2017-07,29
2017-08,28
2017-09,18
2017-10,20
2017-11,22
2017-12,25
2018-01,29
2018-02,22
2018-03,18
2018-04,22
2018-05,27
2018-06,22
2018-07,22
2018-08,23
2018-09,42
2018-10,32
2018-11,38
2018-12,41
2019-01,53
2019-02,59
2019-03,39
2019-04,43
2019-05,100
2019-06,61
2019-07,39
2019-08,69
2019-09,76
2019-10,51
2019-11,48
2019-12,76
2020-01,78
2020-02,93
2020-03,54
2020-04,50
2020-05,46
2020-06,40
2020-07,51
2020-08,69
2020-09,57
2020-10,58
2020-11,55
2020-12,48
2021-01,61
2021-02,65
2021-03,54
2021-04,71
2021-05,50
2021-06,55
2021-07,63
2021-08,67
2021-09,67
2021-10,72
2021-11,66
2021-12,66
2022-01,76
2022-02,92
2022-03,82
2022-04,85
2022-05,93
